CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
DRC,797,+92,35 ,+1,92,670,,9,0.4,,
Sri Lanka,797,+26,9 ,,215,573,1,37,0.4,"29,378","1,372"
Niger,763,,38 ,,543,182,,32,2,"5,375",222
Guatemala,763,+33,19 ,,79,665,5,43,1,"7,200",402
Costa Rica,755,,6 ,,413,336,5,148,1,"14,121","2,772"
Andorra,751,,46 ,,521,184,15,"9,720",595,"1,673","21,653"
Lebanon,750,+9,25 ,,206,519,43,110,4,"44,701","6,549"
Mayotte,739,,9 ,,352,378,6,"2,709",33,"3,400","12,463"
Burkina Faso,729,+41,48 ,,555,126,,35,2,,
,,,721,,15,,645,61,4,,
Diamond Princess,712,,13 ,,645,54,4,,,,
Uruguay,670,,17 ,,468,185,10,193,5,"23,811","6,855"
El Salvador,633,+46,15 ,+2,219,399,4,98,2,"33,628","5,185"
Mali,631,+19,32 ,,261,338,,31,2,"2,172",107
Maldives,618,+45,2 ,,20,596,2,"1,143",4,"9,863","18,246"
Georgia,610,+6,9 ,,269,332,6,153,2,"20,579","5,159"
San Marino,608,+19,41 ,,97,470,4,"17,919","1,208","2,660","78,394"
Kenya,582,+47,26 ,+2,190,366,1,11,0.5,"25,861",481
Channel Islands,545,,40 ,,406,99,,"3,135",230,"5,342","30,725"
Malta,484,+2,5 ,,407,72,,"1,096",11,"38,337","86,825"
Tanzania,480,,16 ,,167,297,7,8,0.3,,
Guinea-Bissau,475,+62,2 ,+1,24,449,,241,1,"1,500",762
Jamaica,473,+2,9 ,,56,408,,160,3,"5,993","2,024"
Jordan,473,+2,9 ,,377,87,5,46,0.9,"97,110","9,518"
Paraguay,440,+9,10 ,,142,288,9,62,1,"11,913","1,670"
Taiwan,439,+1,6 ,,339,94,,18,0.3,"65,589","2,754"
Equatorial Guinea,439,+124,4 ,+1,13,422,,313,3,854,609
Réunion,425,+1, ,,300,125,2,475,,"17,200","19,211"
Gabon,397,,6 ,,93,298,1,178,3,724,325
Tajikistan,379,+86,8 ,+3,,371,,40,0.8,,
Palestine,371,,2 ,,174,195,,73,0.4,"32,200","6,312"
Venezuela,367,+6,10 ,,164,193,1,13,0.4,"490,851","17,262"
Mauritius,332,,10 ,,320,2,3,261,8,"55,494","43,635"
Isle of Man,327,+1,23 ,,271,33,19,"3,846",270,"3,459","40,678"
Montenegro,324,,8 ,,261,55,2,516,13,"7,816","12,445"
Vietnam,271,, ,,232,39,8,3,,"261,004","2,681"
Congo,264,+28,10 ,,30,224,,48,2,,
Rwanda,261,, ,,129,132,,20,,"35,992","2,779"
Sierra Leone,225,+26,14 ,+3,54,157,,28,2,,
Cabo Verde,191,+5,2 ,,38,151,,344,4,791,"1,423"
Faeroe Islands,187,, ,,185,2,,"3,827",,"8,241","168,655"
Martinique,182,+1,14 ,,83,85,5,485,37,,
Liberia,178,+8,20 ,,75,83,,35,4,,
Sao Tome and Principe,174,,3 ,,4,167,,794,14,175,799
Chad,170,,17 ,,43,110,,10,1,,
Ethiopia,162,+17,4 ,,93,65,,1,0.03,"26,517",231
Myanmar,161,,6 ,,50,105,,3,0.1,"9,037",166
Madagascar,158,+7, ,,101,57,1,6,,"3,907",141
Guadeloupe,152,,13 ,+1,104,35,4,380,32,,
Gibraltar,144,, ,,133,11,,"4,274",,"2,931","86,997"
Zambia,139,+1,4 ,+1,92,43,1,8,0.2,"7,277",396
Brunei ,139,+1,1 ,,131,7,2,318,2,"14,754","33,725"
French Guiana,138,+5,1 ,,111,26,2,462,3,,
Togo,128,,9 ,,77,42,,15,1,"8,835","1,067"
Eswatini,123,+4,2 ,+1,12,109,,106,2,714,615
Cambodia,122,, ,,120,2,1,7,,"12,611",754
Trinidad and Tobago,116,,8 ,,103,5,,83,6,"2,114","1,511"
Bermuda,115,,7 ,,54,54,4,"1,847",112,"3,374","54,176"
Haiti,101,,12 ,,10,79,,9,1,"1,037",91
Aruba,101,,2 ,,89,10,4,946,19,"1,798","16,841"
Nepal,99,+17, ,,22,77,,3,,"64,492","2,213"
Uganda,98,, ,,55,43,,2,,"44,110",964
Benin,96,,2 ,,50,44,,8,0.2,,
Monaco,95,,4 ,,82,9,1,"2,421",102,,
CAR,94,+9, ,,10,84,,19,,"3,498",724
Guyana,93,+1,10 ,+1,27,56,3,118,13,680,865
Bahamas,89,,11 ,,26,52,1,226,28,"1,485","3,776"
Barbados,82,,7 ,,47,28,4,285,24,"2,549","8,870"
Liechtenstein,82,,1 ,,55,26,,"2,151",26,900,"23,605"
Mozambique,81,, ,,19,62,,3,,"2,867",92
Cayman Islands,78,+3,1 ,,30,47,3,"1,187",15,"2,752","41,873"
Sint Maarten,76,,14 ,,44,18,7,"1,773",327,329,"7,673"
Libya,64,+1,3 ,,24,37,,9,0.4,"2,338",340
French Polynesia,60,, ,,54,6,1,214,,"2,697","9,601"
South Sudan,58,+6, ,,,58,,5,,"1,247",111
Syria,45,+1,3 ,,27,15,,3,0.2,,
Macao,45,, ,,39,6,1,69,,,
Malawi,43,+2,3 ,,9,31,1,2,0.2,961,50
Mongolia,41,, ,,13,28,,13,,"8,946","2,729"
Eritrea,39,, ,,30,9,,11,,,
Saint Martin,38,,3 ,,29,6,1,983,78,,
Angola,36,,2 ,,11,23,,1,0.06,"3,000",91
Zimbabwe,34,,4 ,,5,25,,2,0.3,"7,642",514
Yemen,25,+3,5 ,+1,1,19,,0.8,0.2,120,4
Antigua and Barbuda,25,,3 ,,16,6,1,255,31,153,"1,562"
Timor-Leste,24,, ,,20,4,,18,,664,504
Botswana,23,,1 ,,8,14,,10,0.4,"9,066","3,855"
Grenada,21,, ,,13,8,4,187,,"1,406","12,495"
Laos,19,, ,,10,9,,3,,"2,505",344
Belize,18,,2 ,,16,0,,45,5,"1,043","2,623"
Fiji,18,, ,,14,4,,20,,"1,300","1,450"
New Caledonia,18,, ,,17,1,1,63,,"5,052","17,695"
Saint Lucia,18,, ,,15,3,,98,,446,"2,429"
Gambia,17,,1 ,,9,7,,7,0.4,562,233
St. Vincent Grenadines,17,, ,,9,8,,153,,137,"1,235"
Nicaragua,16,,5 ,,7,4,,2,0.8,,
Curaçao,16,,1 ,,13,2,,98,6,374,"2,279"
Dominica,16,, ,,14,2,,222,,416,"5,779"
Namibia,16,, ,,8,8,,6,,"1,122",442
Burundi,15,,1 ,,7,7,,1,0.08,284,24
Saint Kitts and Nevis,15,, ,,12,3,,282,,318,"5,978"
Falkland Islands,13,, ,,13,0,,"3,736",,388,"111,494"
Turks and Caicos,12,,1 ,,6,5,,310,26,107,"2,764"
Vatican City,12,+1, ,,2,10,,"14,981",,,
Montserrat,11,,1 ,,7,3,1,"2,204",200,36,"7,212"
Greenland,11,, ,,11,0,,194,,"1,362","23,992"
Seychelles,11,, ,,8,3,,112,,,
Suriname,10,,1 ,,9,0,,17,2,404,689
MS Zaandam,9,,2 ,,,7,,,,,
Mauritania,8,,1 ,,6,1,,2,0.2,"1,842",396
Papua New Guinea,8,, ,,8,0,,0.9,,"2,402",268
British Virgin Islands,7,,1 ,,3,3,,232,33,132,"4,366"
Bhutan,7,, ,,5,2,,9,,"11,373","14,739"
Caribbean Netherlands,6,, ,,,6,,229,,110,"4,195"
St. Barth,6,, ,,6,0,,607,,,
Western Sahara,6,, ,,5,1,,10,,,
Comoros,4,+1,1 ,+1,,3,,5,1,,
Anguilla,3,, ,,3,0,,200,,,
Saint Pierre Miquelon,1,, ,,,1,,173,,,
