CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
,Africa,,"17,806",+934,913,+37,"3,762","13,131",178,,
Austria,"14,336",+110,393 ,+9,"8,098","5,845",232,"1,592",44,"156,801","17,410"
Ireland,"12,547","+1,068",444 ,+38,77,"12,026",158,"2,541",90,"90,646","18,358"
Israel,"12,501",+455,130 ,+7,"2,563","9,808",180,"1,444",15,"117,339","13,557"
India,"12,322",+835,405 ,+12,"1,432","10,485",,9,0.3,"244,893",177
Sweden,"11,927",+482,"1,203 ",+170,381,"10,343",954,"1,181",119,"74,600","7,387"
Peru,"11,475","+1,172",254 ,+24,"3,108","8,113",146,348,8,"109,385","3,318"
S. Korea,"10,591",+27,225 ,+3,"7,616","2,750",55,207,4,"534,552","10,426"
Chile,"8,273",+356,94 ,+2,"2,937","5,242",389,433,5,"91,873","4,806"
Japan,"8,100",+215,146 ,,853,"7,101",152,64,1,"89,551",708
,Oceania,,"7,924",+67,72,+2,"4,415","3,437",81,,
Ecuador,"7,858",+255,388 ,+19,780,"6,690",135,445,22,"26,093","1,479"
Poland,"7,582",+380,286 ,+23,668,"6,628",160,200,8,"156,493","4,135"
Romania,"7,216",+337,372 ,+21,"1,217","5,627",245,375,19,"74,827","3,890"
Norway,"6,740",+117,150 ,+11,32,"6,558",64,"1,243",28,"130,216","24,020"
Denmark,"6,681",+170,309 ,+10,"2,748","3,624",89,"1,153",53,"77,712","13,417"
Australia,"6,447",+47,63 ,+2,"3,686","2,698",76,253,2,"371,377","14,564"
Pakistan,"6,383",+546,111 ,+15,"1,446","4,826",46,29,0.5,"73,439",332
Czechia,"6,216",+105,166 ,+5,819,"5,231",84,580,16,"137,672","12,856"
Saudi Arabia,"5,862",+493,79 ,+6,931,"4,852",71,168,2,"150,000","4,309"
Philippines,"5,453",+230,349 ,+14,353,"4,751",1,50,3,"45,486",415
Mexico,"5,399",+385,406 ,+74,"2,125","2,868",207,42,3,"40,091",311
UAE,"5,365",+432,33 ,+5,"1,034","4,298",1,542,3,"767,000","77,550"
Indonesia,"5,136",+297,469 ,+10,446,"4,221",,19,2,"36,000",132
Malaysia,"5,072",+85,83 ,+1,"2,647","2,342",56,157,3,"87,183","2,694"
Serbia,"4,873",+408,99 ,+5,400,"4,374",128,558,11,"26,278","3,008"
Ukraine,"3,764",+392,108 ,+10,143,"3,513",45,86,2,"39,084",894
Belarus,"3,728",+447,36 ,+3,203,"3,489",68,395,4,"76,198","8,064"
Qatar,"3,711",+283,7 ,,406,"3,298",37,"1,288",2,"54,484","18,911"
Singapore,"3,699",+447,10 ,,652,"3,037",29,632,2,"72,680","12,423"
Dominican Republic,"3,614",+328,189 ,+6,208,"3,217",143,333,17,"9,275",855
Panama,"3,574",,95 ,,72,"3,407",106,828,22,"16,053","3,720"
Luxembourg,"3,373",+66,69 ,+2,526,"2,778",33,"5,388",110,"30,723","49,080"
Finland,"3,237",+76,72 ,+8,300,"2,865",75,584,13,"48,828","8,813"
Colombia,"3,105",+126,131 ,+4,452,"2,522",106,61,3,"45,423",893
Thailand,"2,643",+30,43 ,+2,"1,497","1,103",61,38,0.6,"100,498","1,440"
South Africa,"2,506",+91,34  ,+7,410,"2,062",7,42,0.6,"90,515","1,526"
Egypt,"2,505",+155,183 ,+5,589,"1,733",,24,2,"25,000",244
Argentina,"2,443",+166,111 ,+9,596,"1,736",117,54,2,"24,374",539
Greece,"2,192",+22,102 ,+1,269,"1,821",72,210,10,"50,771","4,871"
Algeria,"2,160",+90,336 ,+10,708,"1,116",60,49,8,"3,359",77
Moldova,"2,049",+115,46 ,+5,171,"1,832",80,508,11,"6,271","1,555"
Morocco,"2,024",+136,127 ,+1,229,"1,668",1,55,3,"10,392",282
Croatia,"1,741",+37,33 ,+2,473,"1,235",31,424,8,"19,256","4,691"
Iceland,"1,727",+7,8 ,,"1,077",642,8,"5,061",23,"37,386","109,558"
Bahrain,"1,671",+143,7 ,,663,"1,001",3,982,4,"72,647","42,694"
Hungary,"1,579",+67,134 ,+12,192,"1,253",58,163,14,"37,326","3,864"
Iraq,"1,415",+15,79 ,+1,812,524,,35,2,"46,135","1,147"
Kuwait,"1,405",+50,3 ,,206,"1,196",31,329,0.7,,
Estonia,"1,400",+27,35 ,+4,117,"1,248",10,"1,055",26,"33,967","25,606"
New Zealand,"1,386",+20,9 ,,728,649,3,287,2,"66,499","13,790"
Uzbekistan,"1,302",+137,4 ,,107,"1,191",8,39,0.1,"70,000","2,091"
Kazakhstan,"1,295",+63,16 ,+2,240,"1,039",20,69,0.9,"81,359","4,333"
Azerbaijan,"1,253",+56,13 ,,404,836,24,124,1,"75,397","7,436"
Slovenia,"1,248",+28,61 ,+5,165,"1,022",34,600,29,"37,114","17,852"
Bangladesh,"1,231",+219,50 ,+4,49,"1,132",1,7,0.3,"14,868",90
Armenia,"1,111",+44,17 ,+1,297,797,30,375,6,"9,095","3,069"
Bosnia and Herzegovina,"1,110",+27,41 ,+1,253,816,4,338,12,"13,339","4,066"
Lithuania,"1,091",+21,30 ,+1,138,923,14,401,11,"44,677","16,412"
Hong Kong,"1,017",+4,4 ,,459,554,10,136,0.5,"116,273","15,509"
North Macedonia,974,+66,45 ,+1,98,831,15,468,22,"9,262","4,446"
Oman,910,+97,4 ,,131,775,3,178,0.8,,
Slovakia,863,+28,6 ,+4,151,706,5,158,1,"31,491","5,768"
Cameroon,848,,17 ,+3,165,666,,32,0.6,,
Cuba,814,+48,24 ,+3,151,639,15,72,2,"20,451","1,806"
Afghanistan,784,+70,25 ,+2,43,716,,20,0.6,,
Tunisia,780,+33,35 ,+1,43,702,89,66,3,"13,137","1,112"
Bulgaria,747,+34,36 ,+1,105,606,31,108,5,"18,502","2,663"
,,,721,,14,,639,68,7,,
Cyprus,715,+20,12 ,,65,638,8,592,10,"17,923","14,845"
Diamond Princess,712,,12 ,,639,61,7,,,,
Andorra,673,+14,33 ,+2,169,471,17,"8,710",427,"1,673","21,653"
Latvia,666,+9,5 ,,44,617,3,353,3,"29,896","15,850"
Lebanon,658,+17,21 ,,85,552,30,96,3,"17,260","2,529"
Ivory Coast,638,,6 ,,114,518,,24,0.2,,
Ghana,636,,8 ,,17,611,2,20,0.3,"44,421","1,430"
Costa Rica,626,+8,4 ,+1,67,555,11,123,0.8,"9,089","1,784"
Niger,584,+14,14 ,,90,480,,24,0.6,"4,427",183
Burkina Faso,542,+14,32 ,+2,226,284,,26,2,,
Albania,494,+19,25 ,+1,251,218,5,172,9,"4,558","1,584"
Uruguay,492,,8 ,,260,224,14,142,2,"9,929","2,858"
Kyrgyzstan,449,+19,5 ,,78,366,5,69,0.8,"26,147","4,008"
Channel Islands,447,+7,15 ,+2,69,363,,"2,571",86,"3,320","19,095"
Djibouti,435,+72,2 ,,71,362,,440,2,"5,936","6,008"
Honduras,419,+12,31 ,+5,9,379,10,42,3,"1,600",162
Nigeria,407,+34,12 ,+1,128,267,2,2,0.06,"5,000",24
Guinea,404,+41,1 ,+1,31,372,,31,0.08,,
Jordan,401,+4,7 ,,250,144,5,39,0.7,"20,500","2,009"
Malta,399,+6,3 ,,44,352,4,904,7,"20,139","45,611"
Bolivia,397,+43,28 ,,7,362,3,34,2,"2,185",187
Taiwan,395,+2,6 ,,137,252,,17,0.3,"49,748","2,089"
Réunion,391,, ,,237,154,3,437,,,
Palestine,374,+66,2 ,,63,309,,73,0.4,"17,329","3,397"
San Marino,372,,36 ,,53,283,15,"10,963","1,061",846,"24,933"
Mauritius,324,,9 ,,65,250,3,255,7,"8,279","6,510"
Senegal,314,+15,2 ,,190,122,1,19,0.1,,
Georgia,306,+6,3 ,,71,232,6,77,0.8,"5,027","1,260"
Montenegro,288,+5,4 ,,55,229,7,459,6,"3,874","6,168"
Vietnam,267,+1, ,,171,96,8,3,,"135,938","1,397"
Isle of Man,256,+2,4 ,+2,151,101,13,"3,011",47,"2,175","25,578"
DRC,254,+13,21 ,+1,21,212,,3,0.2,,
Sri Lanka,238,+5,7 ,,63,168,1,11,0.3,"4,768",223
Kenya,225,+9,10 ,+1,53,162,2,4,0.2,"9,630",179
Mayotte,217,,3 ,,69,145,3,795,11,"1,500","5,498"
Venezuela,197,+8,9 ,,111,77,6,7,0.3,"225,009","7,913"
Faeroe Islands,184,, ,,166,18,,"3,766",,"5,677","116,182"
Guatemala,180,+13,5 ,,19,156,3,10,0.3,"1,134",63
Paraguay,161,+2,8 ,+1,23,130,1,23,1,"3,888",545
El Salvador,159,+10,6 ,,30,123,2,25,0.9,"7,785","1,200"
Martinique,158,+1,8 ,+2,73,77,17,421,21,,
Mali,148,+4,13 ,,34,101,,7,0.6,,
Guadeloupe,145,,8 ,,67,70,13,362,20,,
Brunei ,136,,1 ,,108,27,2,311,2,"10,579","24,182"
Rwanda,136,+2, ,,54,82,,11,,"6,237",482
Gibraltar,131,+2, ,,104,27,1,"3,888",,"1,649","48,945"
Jamaica,125,+20,5 ,+1,21,99,,42,2,"1,391",470
Cambodia,122,, ,,96,26,1,7,,"5,768",345
Congo,117,+43,5 ,,11,101,,21,0.9,,
Trinidad and Tobago,114,+1,8 ,,19,87,,81,6,"1,282",916
Madagascar,110,+2, ,,29,81,1,4,,,
Monaco,93,,3 ,+2,12,78,2,"2,370",76,,
Aruba,93,+1,1 ,+1,39,53,1,871,9,"1,198","11,221"
Tanzania,88,+35,4 ,+1,11,73,,1,0.07,,
French Guiana,86,, ,,51,35,1,288,,,
Ethiopia,85,+3,3 ,,15,67,,0.7,0.03,"4,988",43
Bermuda,81,+24,5 ,,33,43,3,"1,301",80,527,"8,462"
Togo,81,+4,3 ,,35,43,,10,0.4,"3,036",367
Somalia,80,+20,5  ,+3,2,73,2,5,0.3,,
Gabon,80,+23,1 ,,4,75,,36,0.4,,
Liechtenstein,79,,1 ,,55,23,,"2,072",26,900,"23,605"
Myanmar,74,+11,4 ,,2,68,,1,0.07,"2,836",52
Barbados,73,,5 ,,15,53,4,254,17,864,"3,007"
Liberia,59,,6 ,,4,49,,12,1,,
Cabo Verde,56,+45,1 ,,1,54,,101,2,,
Guyana,55,+8,6 ,,8,41,5,70,8,213,271
French Polynesia,55,, ,,,55,1,196,,920,"3,275"
Uganda,55,, ,,12,43,,1,,"7,693",168
Cayman Islands,54,,1 ,,6,47,3,822,15,580,"8,825"
Sint Maarten,53,+1,9 ,,5,39,2,"1,236",210,157,"3,662"
Bahamas,53,+4,8 ,,6,39,1,135,20,,
Equatorial Guinea,51,+10, ,,4,47,,36,,854,609
Zambia,48,+3,2 ,,30,16,1,3,0.1,"1,696",92
Libya,48,+13,1 ,,9,38,,7,0.1,585,85
Macao,45,, ,,15,30,1,69,,,
Guinea-Bissau,43,, ,,,43,,22,,"1,500",762
Haiti,41,+1,3 ,,,38,,4,0.3,365,32
Saint Martin,35,+3,2 ,,13,20,5,905,52,,
Benin,35,,1 ,,18,16,,3,0.08,,
Eritrea,35,, ,,,35,,10,,,
Syria,33,+4,2 ,,5,26,,2,0.1,,
Sudan,32,,5 ,,4,23,,0.7,0.1,,
Mongolia,30,, ,,5,25,,9,,"1,000",305
Mozambique,29,+1, ,,2,27,,0.9,,793,25
Zimbabwe,23,+6,3 ,,1,19,,2,0.2,716,48
Antigua and Barbuda,23,,2 ,,3,18,1,235,20,73,745
Chad,23,, ,,2,21,,1,,,
Maldives,22,+2, ,,16,6,,41,,"2,899","5,363"
Angola,19,,2 ,,5,12,,0.6,0.06,,
Laos,19,, ,,1,18,,3,,"1,235",170
Belize,18,,2 ,,,16,1,45,5,567,"1,426"
New Caledonia,18,, ,,1,17,1,63,,"3,002","10,515"
Malawi,16,,2 ,,,14,1,0.8,0.1,343,18
Nepal,16,, ,,1,15,,0.5,,"6,299",216
Dominica,16,, ,,8,8,,222,,345,"4,793"
Fiji,16,, ,,,16,,18,,,
Namibia,16,, ,,3,13,,6,,362,142
Saint Lucia,15,, ,,11,4,,82,,319,"1,737"
Eswatini,15,, ,,8,7,,13,,714,615
Curaçao,14,,1 ,,10,3,,85,6,230,"1,402"
Grenada,14,, ,,,14,2,124,,92,818
Saint Kitts and Nevis,14,, ,,,14,,263,,234,"4,399"
Botswana,13,,1 ,,,12,,6,0.4,"3,441","1,463"
Sierra Leone,13,+2, ,,,13,,2,,,
CAR,12,+1, ,,4,8,,2,,,
St. Vincent Grenadines,12,, ,,1,11,,108,,87,784
Falkland Islands,11,, ,,1,10,,"3,161",,137,"39,368"
Greenland,11,, ,,11,0,,194,,912,"16,065"
Montserrat,11,, ,,1,10,1,"2,204",,36,"7,212"
Seychelles,11,, ,,,11,,112,,,
Suriname,10,,1 ,,6,3,,17,2,,
Turks and Caicos,10,,1 ,,,9,,258,26,71,"1,834"
MS Zaandam,9,,2 ,,,7,,,,,
Gambia,9,,1 ,,2,6,,4,0.4,281,116
Nicaragua,9,,1 ,,4,4,,1,0.2,,
Vatican City,8,, ,,2,6,,"9,988",,,
Timor-Leste,8,+2, ,,1,7,,6,,,
Mauritania,7,,1 ,,2,4,,2,0.2,593,128
St. Barth,6,, ,,4,2,,607,,,
Western Sahara,6,, ,,,6,,10,,,
Burundi,5,,1 ,,,4,,0.4,0.08,,
Bhutan,5,, ,,2,3,,6,,"1,166","1,511"
Sao Tome and Principe,4,, ,,,4,,18,,19,87
South Sudan,4,, ,,,4,,0.4,,,
Anguilla,3,, ,,1,2,,200,,,
British Virgin Islands,3,, ,,2,1,,99,,,
Caribbean Netherlands,3,, ,,,3,,114,,10,381
Papua New Guinea,2,, ,,,2,,0.2,,72,8
Saint Pierre Miquelon,1,, ,,,1,,173,,,
Yemen,1,, ,,,1,,0.03,,,
